460,Jelašnica,18206,150
461,Jelen Do,31215,133
462,Jelovik,34309,15
463,Jermenovci,26363,46
464,Jovanovac,18258,26
465,Jovanovac,34211,71
466,Jovac,35205,75
467,Jošanica,18234,128
468,Jošanička Banja,36345,27
469,Jugbogdanovac,18253,26
470,Junkovac,11562,49
471,Kalna,19353,67
472,Kaluđerica,11130,151
473,Kamenica,14252,93
474,Kamenica,15222,145
475,Kamenica,18324,141
476,Kanjiža,24420,3
477,Kaona,32234,118
478,Kaonik,37256,60
479,Karavukovo,25255,54
480,Karađorđevo,21421,53
481,Karađorđevo,24308,25
482,Karan,31204,61
483,Karlovčić,22443,17
484,Katun,18225,10
485,Kać,21241,59
486,Kačarevo,26212,31
487,Kevi,24407,81
488,Kelebija,24104,24
489,Kelebija gran. prelaz,24205,24
490,Kikinda,23300,30
491,Kisač,21211,59
492,Kladovo,19320,98
493,Klek,23211,14
494,Klenak,22424,101
495,Klenike,17524,76
496,Klenje,12258,92
497,Klenje,15357,22
498,Klisura,17535,86
499,Kličevac,12209,43
500,Klokočevac,19222,146
501,Kljajićevo,25221,6
502,Knić,34240,44
503,Knićanin,23265,14
504,Knjaževac,19350,67
505,Kobišnica,19316,94
506,Kovačevac,11409,109
507,Kovačica,26210,138
508,Kovilj,21243,59
509,Kovin,26220,19
510,Kokin Brod,31318,78
511,Kolare,35242,20
512,Kolari,11431,123
513,Kolut,25274,6
514,Komirić,14254,152
515,Konak,23253,28
516,Konarevo,36340,4
517,Končarevo,35219,20
518,Konjuh,37254,60
519,Kopaonik,36354,27
520,Koprivnica,19223,100
521,Koraćica,11415,109
522,Korbevac,17545,153
523,Korbovo,19329,98
524,Korenita,15302,37
525,Korman,18216,10
526,Korman,34224,71
527,Kosančić,16206,87
528,Kosjerić (varoš),31260,105
529,Kosovo Polje,38210,50
530,Kosovska Kamenica,38260,154
531,Kosovska Mitrovica,38220,155
532,Kostojevići,31254,23
533,Kostolac,12208,156
534,Kotraža,32235,118
535,Koceljeva,15220,145
536,Kragujevac,34000,71
537,Krajišnik,23231,28
538,Kraljevo,36000,4
539,Kraljevci,22411,101
540,Kremna,31242,61
541,Krepoljin,12316,131
542,Kriva Feja,17543,153
543,Krivaja,24341,25
544,Krivelj,19219,89
545,Krivi Vir,19375,83
546,Krnjevo,11319,111
547,Krnješevci,22314,34
548,Krupanj,15314,63
549,Krupac,18307,116
550,Krušar,35227,75
551,Kruševac,37000,60
552,Kruševica,18409,68
553,Krušedol,22328,127
554,Kruščić,25225,157
555,Krčedin,22325,74
556,Kuzmin,22223,73
557,Kukljin,37255,60
558,Kukujevci,22224,2
559,Kula,25230,157
560,Kulina,18214,10
561,Kulpin,21472,56
562,Kumane,23271,90
563,Kupinik,26368,46
564,Kupinovo,22419,17
565,Kupusina,25262,13
566,Kupci,37222,60
567,Kuršumlija,18430,48
568,Kuršumlijska Banja,18435,48
569,Kusadak,11425,5
570,Kusić,26349,29
571,Kucura,21466,58
572,Kučevo,12240,124
573,Kušiljevo,35226,80
574,Kušići,32258,65
575,Kuštilj,26336,107
576,Lađevci,36204,4
577,Lazarevac,11550,49
578,Lazarevo,23241,14
579,Laznica,12321,131
580,Lajkovac (varoš),14224,82
581,Lalinac,18256,143
582,Lalinac,18201,102
583,Lalić,25234,54
584,Laplje Selo,38204,137
585,Lapovo (selo),34221,158
586,Lapovo (varošica),34220,158
587,Laćarak,22221,73
588,Lebane,16230,91
589,Ledinci,21207,59
590,Ležimir,22207,73
591,Lelić,14205,93
592,Lenovac,19343,100
593,Lepenac,37224,79
594,Lepenica,17513,120
595,Lepina,38208,142
596,Leposavić,38218,159
597,Leskovac,16000,84
598,Lece,16248,160
599,Lešak,38219,159
600,Lešnica,15307,37
601,Lipar,25232,157
602,Lipe,11310,123
603,Lipnički Šor,15341,37
604,Lipolist,15305,106
605,Lički Hanovi,18245,132
606,Lovćenac,24322,161
607,Loznica,15300,37
608,Lozovik,11317,111
609,Lok,21248,115
610,Lokve,26361,11
611,Loćika,35274,72
612,Lubnica,19208,100
613,Lug,21315,35
614,Lugavčina,11321,123
615,Lužnice,34325,71
616,Lukare,36306,139
617,Lukino Selo,23224,14
618,Lukićevo,23261,14
619,Lukovo,19371,83
620,Lukovska Banja,18437,48
621,Lunovo Selo,31203,61
622,Lučani (varošica),32240,118
623,Ljig,14240,64
624,Ljuba,22255,2
625,Ljuberađa,18217,18
626,Ljubiš,31209,148
627,Ljubovija,15320,130
628,Ljukovo,22321,74
629,Ljutovo,24215,24
630,Maglić,21473,56
631,Majdan,23333,33
632,Majdanpek,19250,146
633,Majilovac,12221,114
634,Majur,15353,106
635,Majur,35270,20
636,Mala Bosna,24217,24
637,Mala Krsna,11313,123
638,Mala Moštanica,11261,47
639,Mala Plana,18423,68
640,Male Pijace,24416,3
641,Male Pčelice,34216,71
642,Mali Beograd,24309,25
643,Mali Zvornik,15318,112
644,Mali Iđoš,24321,161
645,Mali Izvor,19347,100
646,Mali Jasenovac,19209,100
647,Mali Požarevac,11235,162
648,Malo Krčmare,34212,163
649,Malo Crniće,12311,85
650,Malošište,18415,70
651,Malča,18207,135
652,Manđelos,22208,73
653,Manojlovce,16201,84
654,Maradik,22327,74
655,Margita,26364,46
656,Markovac,11325,111
657,Markovica,32243,118
658,Martinci,22222,73
659,Martonoš,24417,3
660,Maršić,34209,71
661,Mataruška Banja,36201,4
662,Mačvanska Mitrovica,22202,73
663,Mačvanski Pričinović,15211,106
664,Mačkat,31312,148
665,Medveđa,16240,160
666,Medveđa,35224,113
667,Medveđa,37244,108
668,Medoševac,18209,134
669,Međa,23234,32
670,Međulužje,11405,109
671,Međurečje,32255,65
672,Melenci,23270,14
673,Melenci-Rusanda,23269,14
674,Meljak,11426,40
675,Merdare,18445,48
676,Merošina,18252,26
677,Merćez,18436,48
678,Metlić,15233,106
679,Metovnica,19204,89
680,Mijatovac,35236,75
681,Milatovac,34222,21
682,Milentija,37227,79
683,Miletićevo,26373,46
684,Mileševo,21227,57
685,Miloševac,11318,111
686,Miloševo,35268,20
687,Milutovac,37246,108
688,Minićevo,19340,67
689,Mionica (varošica),14242,95
690,Mirosaljci,11567,49
691,Miroševce,16204,84
692,Mitrovac,31251,23
693,Mihajlovac,11312,123
694,Mihajlovac,19322,94
695,Mihajlovo,23202,14
696,Mišićevo,24211,24
697,Mladenovac (varoš),11400,109
698,Mladenovo,21422,53
699,Mozgovo,18229,10
700,Mokra Gora,31243,61
701,Mokrin,23305,30
702,Mol,24435,1
703,Molovin,22256,2
704,Morović,22245,2
705,Mošorin,21245,115
706,Mramor,18251,143
707,Mramorak,26226,19
708,Mrčajevci,32210,97
709,Mršinci,32224,97
710,Mužlja,23206,14
711,Muhovac,17529,76
712,Nadalj,21216,164
713,Nakovo,23311,30
714,Natalinci,34313,69
715,Negotin,19300,94
716,Neresnica,12242,124
717,Neuzina,23245,28
718,Neštin,21314,53
719,Nikinci,22422,101
720,Nikolinci,26322,11
721,Nikoličevo,19311,100
722,Niševac,18366,102
723,Niška Banja,18205,150
724,Nova Varoš,31320,78
725,Nova Gajdobra,21431,53
726,Nova Pazova,22330,34
727,Nova Crvenka,25224,157
728,Nova Crnja,23218,9
729,Novi Banovci,22304,34
730,Novi Bečej,23272,90
731,Novi Bračin,37216,117
732,Novi Žednik,24223,24
733,Novi Itebej,23236,32
734,Novi Karlovci,22322,74
735,Novi Kneževac,23330,33
736,Novi Kozarci,23313,30
737,Novi Kozjak,26353,11
738,Novi Pazar,36300,139
739,Novi Sad,21000,59
740,Novi Slankamen,22323,74
741,Novo Miloševo,23273,90
742,Novo Orahovo,24351,25
743,Novo Selo,18250,143
744,Novo Selo,36216,129
745,Noćaj,22203,73
746,Obrež,22417,17
747,Obrež,37266,52
748,Obrenovac,11500,47
749,Obrovac,21423,53
750,Ovčar Banja,32242,97
751,Ogar,22416,17
752,Omoljica,26230,31
753,Oparić,35267,72
754,Opovo,26204,41
755,Orane,16233,87
756,Orašac,34308,15
757,Oreškovica,12308,103
758,Orid,15213,106
759,Orlovat,23263,14
760,Orom,24207,3
761,Osanica,12317,131
762,Osečina (varošica),14253,152
763,Osipaonica,11314,123
764,Ostojićevo,23326,125
765,Ostrovica,18312,150
766,Ostružnica,11251,110
767,Odžaci,25250,54
768,Oštrelj,19226,89
769,Pavliš,26333,107
770,Padež,37257,60
771,Padej,23325,125
772,Padina,26215,138
773,Palić,24413,24
774,Pambukovica,14213,38
775,Panonija,24330,25
776,Pančevo,26000,31
777,Parage,21434,53
778,Paraćin,35250,104
779,Parteš,38251,165
