naselje_ime_lat,opstina_ime_lat,latitude,longitude,ulica_ime_lat,kucni_broj_lat
Srpska Crnja,Nova Crnja,45.716309521257585,20.688330573534337,Đure Jakšića,160
Srpska Crnja,Nova Crnja,45.725404686741506,20.680559195123955,Železnička,22
Srpska Crnja,Nova Crnja,45.724070747553355,20.686235020321398,Partizanska,67
Srpska Crnja,Nova Crnja,45.73006737781007,20.69060665033012,Petra Kočića,2
Srpska Crnja,Nova Crnja,45.72010885586252,20.69282078344532,Đure Jakšića,108
Srpska Crnja,Nova Crnja,45.721518516430535,20.693139710434647,Knez Mihajlova,26A
Srpska Crnja,Nova Crnja,45.729302954989116,20.692110825478544,Partizanska,22
Srpska Crnja,Nova Crnja,45.72469026066485,20.69696811270666,Đure Jakšića,63
Srpska Crnja,Nova Crnja,45.731355834028406,20.697155700196824,Kralja Aleksandra,6
Srpska Crnja,Nova Crnja,45.73143035961558,20.698448512785255,Kralja Aleksandra,9
Srpska Crnja,Nova Crnja,45.728594142872105,20.699377282140965,Đure Jakšića,25
Srpska Crnja,Nova Crnja,45.72511891588222,20.704160310611698,Dositejeva,16
Radojevo,Nova Crnja,45.739901216033864,20.786578388863926,Mileta Jakšića,15
Radojevo,Nova Crnja,45.74544369218006,20.792982667779867,Vojvode Mišića,64
Radojevo,Nova Crnja,45.750908750009046,20.793621639591176,Vojvode Mišića,3
Aleksandrovo,Nova Crnja,45.63196520987872,20.579069708662416,Železnička,78
Aleksandrovo,Nova Crnja,45.63325933112264,20.579672012178285,Železnička,70
Aleksandrovo,Nova Crnja,45.63726609662655,20.582471018802096,Železnička,47
Aleksandrovo,Nova Crnja,45.63864274469514,20.58245925452062,Železnička,80
Aleksandrovo,Nova Crnja,45.639824572748324,20.585799243966644,Karađorđeva,39
Aleksandrovo,Nova Crnja,45.632436509636044,20.587985859395527,Mihajla Pupina,75
Aleksandrovo,Nova Crnja,45.63764032267323,20.587915773930877,Nikole Tesle,22
