naselje_ime_lat,opstina_ime_lat,latitude,longitude,ulica_ime_lat,kucni_broj_lat
ALEKSANDROVO,NOVA CRNJA,45.632901747944224,20.597908069356148,GAVRILA PRINCIPA,57
ALEKSANDROVO,NOVA CRNJA,45.63016519257131,20.59857295157039,VUKA KARADŽIĆA,52
ALEKSANDROVO,NOVA CRNJA,45.63488395250698,20.59842558460434,GAVRILA PRINCIPA,43
ALEKSANDROVO,NOVA CRNJA,45.63228909606219,20.599893883285375,VUKA KARADŽIĆA,69
ALEKSANDROVO,NOVA CRNJA,45.64272289000814,20.60133984658026,GAVRILA PRINCIPA,7
ALEKSANDROVO,NOVA CRNJA,45.643344711993905,20.592044712638224,MIHAJLA PUPINA,21
ALEKSANDROVO,NOVA CRNJA,45.64418121882065,20.60193378553654,SVETOZARA MARKOVIĆA,60
ALEKSANDROVO,NOVA CRNJA,45.632372284966074,20.580822164181992,ŽELEZNIČKA,71
ALEKSANDROVO,NOVA CRNJA,45.63627777343074,20.583970056054355,KARAĐORĐEVA,64
ALEKSANDROVO,NOVA CRNJA,45.63453050352271,20.58572585340075,ĐURE JAKŠIĆA,72
ALEKSANDROVO,NOVA CRNJA,45.63173187632442,20.587002496926765,MIHAJLA PUPINA,82
ALEKSANDROVO,NOVA CRNJA,45.640138689219164,20.585919086103903,KARAĐORĐEVA,37
ALEKSANDROVO,NOVA CRNJA,45.64189698189775,20.58598351032711,KARAĐORĐEVA,28
ALEKSANDROVO,NOVA CRNJA,45.63542799211645,20.586572340742975,ĐURE JAKŠIĆA,59
ALEKSANDROVO,NOVA CRNJA,45.64394470102492,20.58732994997273,KARAĐORĐEVA,19A
ALEKSANDROVO,NOVA CRNJA,45.63896844642971,20.5903790176693,MIHAJLA PUPINA,49
ALEKSANDROVO,NOVA CRNJA,45.63466417477868,20.59072228306821,4.OKTOBRA,58
ALEKSANDROVO,NOVA CRNJA,45.63623824719241,20.59175100845778,4.OKTOBRA,49
ALEKSANDROVO,NOVA CRNJA,45.631858450694914,20.594927238026923,BRANKA RADIČEVIĆA,50
ALEKSANDROVO,NOVA CRNJA,45.633183553268864,20.597801874550537,GAVRILA PRINCIPA,55
ALEKSANDROVO,NOVA CRNJA,45.63623851049016,20.601306279296004,VUKA KARADŽIĆA,53
ALEKSANDROVO,NOVA CRNJA,45.64327413804317,20.591312500659136,MIHAJLA PUPINA,24
ALEKSANDROVO,NOVA CRNJA,45.643768526525044,20.596468946532912,ŽARKA ZRENJANINA,8
ALEKSANDROVO,NOVA CRNJA,45.64445778110207,20.602492225045232,SVETOZARA MARKOVIĆA,59
ALEKSANDROVO,NOVA CRNJA,45.64008133903017,20.583513332693215,ŽELEZNIČKA,37
ALEKSANDROVO,NOVA CRNJA,45.64039672002236,20.58551491341753,KARAĐORĐEVA,44
ALEKSANDROVO,NOVA CRNJA,45.643895288481,20.584920637198422,ŽELEZNIČKA,21
ALEKSANDROVO,NOVA CRNJA,45.632042656352404,20.590220734237672,4.OKTOBRA,77
ALEKSANDROVO,NOVA CRNJA,45.63809630483896,20.590266812972896,MIHAJLA PUPINA,51B
ALEKSANDROVO,NOVA CRNJA,45.63368256029846,20.590805126100562,4.OKTOBRA,73
ALEKSANDROVO,NOVA CRNJA,45.640947905185584,20.591151437302504,MIHAJLA PUPINA,33
ALEKSANDROVO,NOVA CRNJA,45.63955898859613,20.594895105980903,ŽARKA ZRENJANINA,28
ALEKSANDROVO,NOVA CRNJA,45.6266914967563,20.59786652153573,VUKA KARADŽIĆA,99A
ALEKSANDROVO,NOVA CRNJA,45.63181402020453,20.597330172663312,BRANKA RADIČEVIĆA,57
ALEKSANDROVO,NOVA CRNJA,45.6351079374609,20.597976844179925,GAVRILA PRINCIPA,46
ALEKSANDROVO,NOVA CRNJA,45.6356717844796,20.598753167138913,NIKOLE TESLE,54
ALEKSANDROVO,NOVA CRNJA,45.632960211710795,20.600152763089348,VUKA KARADŽIĆA,65
ALEKSANDROVO,NOVA CRNJA,45.638792384992726,20.60000529631963,GAVRILA PRINCIPA,27
ALEKSANDROVO,NOVA CRNJA,45.64516761585704,20.589693101078012,ĐURE JAKŠIĆA,10
ALEKSANDROVO,NOVA CRNJA,45.64303956110298,20.59125851434212,MIHAJLA PUPINA,26
ALEKSANDROVO,NOVA CRNJA,45.64559688877204,20.594234713300093,SVETOZARA MARKOVIĆA,32
ALEKSANDROVO,NOVA CRNJA,45.643607929182096,20.601179195779338,GAVRILA PRINCIPA,2
ALEKSANDROVO,NOVA CRNJA,45.632771407189914,20.583189512943058,KARAĐORĐEVA,69
ALEKSANDROVO,NOVA CRNJA,45.63895485441578,20.5833598757696,NIKOLE TESLE,3
ALEKSANDROVO,NOVA CRNJA,45.641127856000644,20.58633204117154,KARAĐORĐEVA,31
ALEKSANDROVO,NOVA CRNJA,45.644834146681994,20.587697106278515,KARAĐORĐEVA,11A
ALEKSANDROVO,NOVA CRNJA,45.63095379846886,20.59222891439677,ŽARKA ZRENJANINA,65
ALEKSANDROVO,NOVA CRNJA,45.63502178636198,20.590824119413362,4.OKTOBRA,56
ALEKSANDROVO,NOVA CRNJA,45.638324334476046,20.59198709373693,4.OKTOBRA,42
ALEKSANDROVO,NOVA CRNJA,45.63386077614451,20.59324925554305,ŽARKA ZRENJANINA,53
ALEKSANDROVO,NOVA CRNJA,45.635155007139964,20.59375169884956,ŽARKA ZRENJANINA,45
ALEKSANDROVO,NOVA CRNJA,45.63127984866018,20.596319564577023,GAVRILA PRINCIPA,62
ALEKSANDROVO,NOVA CRNJA,45.64201809978911,20.59631071905402,ŽARKA ZRENJANINA,15
ALEKSANDROVO,NOVA CRNJA,45.63271835604113,20.59951016598391,VUKA KARADŽIĆA,46
ALEKSANDROVO,NOVA CRNJA,45.640769804286684,20.603052490435434,VUKA KARADŽIĆA,29
ALEKSANDROVO,NOVA CRNJA,45.64253851465722,20.603631561081855,VUKA KARADŽIĆA,17
ALEKSANDROVO,NOVA CRNJA,45.6317137431592,20.59014012332941,4.OKTOBRA,79
ALEKSANDROVO,NOVA CRNJA,45.63490444037327,20.58185755890894,BRANKA RADIČEVIĆA,1
ALEKSANDROVO,NOVA CRNJA,45.637597413337495,20.584468654781833,KARAĐORĐEVA,52
ALEKSANDROVO,NOVA CRNJA,45.62822390802149,20.58664467692445,MIHAJLA PUPINA,93
ALEKSANDROVO,NOVA CRNJA,45.6337229039509,20.58675962461907,BRANKA RADIČEVIĆA,19A
ALEKSANDROVO,NOVA CRNJA,45.63156802384801,20.586967777435056,MIHAJLA PUPINA,84
ALEKSANDROVO,NOVA CRNJA,45.6390648673378,20.58790712787754,ĐURE JAKŠIĆA,41
ALEKSANDROVO,NOVA CRNJA,45.63138032492029,20.5899579358941,4.OKTOBRA,81
ALEKSANDROVO,NOVA CRNJA,45.63251817215393,20.593317985225607,BRANKA RADIČEVIĆA,43
ALEKSANDROVO,NOVA CRNJA,45.63723580072555,20.59265347670864,NIKOLE TESLE,37
ALEKSANDROVO,NOVA CRNJA,45.63532482310078,20.593869410392937,ŽARKA ZRENJANINA,43
ALEKSANDROVO,NOVA CRNJA,45.63699701333253,20.593894283512196,NIKOLE TESLE,45A
ALEKSANDROVO,NOVA CRNJA,45.62913710522713,20.598188747272907,VUKA KARADŽIĆA,58
ALEKSANDROVO,NOVA CRNJA,45.63120151187231,20.59835437918103,BRANKA RADIČEVIĆA,62A
ALEKSANDROVO,NOVA CRNJA,45.64669277509046,20.590257401593423,SVETOZARA MARKOVIĆA,15
ALEKSANDROVO,NOVA CRNJA,45.63896982783559,20.602413241451835,VUKA KARADŽIĆA,37
ALEKSANDROVO,NOVA CRNJA,45.635934207868246,20.58684704278547,ĐURE JAKŠIĆA,55
ALEKSANDROVO,NOVA CRNJA,45.632624957055775,20.588176669951256,MIHAJLA PUPINA,73
ALEKSANDROVO,NOVA CRNJA,45.63864232556408,20.587746755327693,ĐURE JAKŠIĆA,43
ALEKSANDROVO,NOVA CRNJA,45.635515050295865,20.59100374946631,4.OKTOBRA,52
ALEKSANDROVO,NOVA CRNJA,45.63572030926773,20.591567827962734,4.OKTOBRA,55
ALEKSANDROVO,NOVA CRNJA,45.63496145829242,20.592984941287884,ŽARKA ZRENJANINA,52
ALEKSANDROVO,NOVA CRNJA,45.640221295316806,20.595154407377528,ŽARKA ZRENJANINA,24
ALEKSANDROVO,NOVA CRNJA,45.631997016767755,20.596337637726432,BRANKA RADIČEVIĆA,53A
ALEKSANDROVO,NOVA CRNJA,45.63708226022243,20.598761961848936,GAVRILA PRINCIPA,42
ALEKSANDROVO,NOVA CRNJA,45.63587233424463,20.600090609795643,NIKOLE TESLE,71A
ALEKSANDROVO,NOVA CRNJA,45.64509740865543,20.590144426870108,ĐURE JAKŠIĆA,13
ALEKSANDROVO,NOVA CRNJA,45.6412306796439,20.602698156976682,VUKA KARADŽIĆA,14
ALEKSANDROVO,NOVA CRNJA,45.63707457074364,20.589078036367237,MIHAJLA PUPINA,54A
ALEKSANDROVO,NOVA CRNJA,45.62989467295219,20.591275812507014,ŽARKA ZRENJANINA,82
ALEKSANDROVO,NOVA CRNJA,45.632805936465395,20.59175463232749,BRANKA RADIČEVIĆA,37A
ALEKSANDROVO,NOVA CRNJA,45.630318200534425,20.59193985985347,ŽARKA ZRENJANINA,69
ALEKSANDROVO,NOVA CRNJA,45.63270036369649,20.592361867483003,BRANKA RADIČEVIĆA,39
ALEKSANDROVO,NOVA CRNJA,45.63344708361539,20.592614979447703,ŽARKA ZRENJANINA,66
ALEKSANDROVO,NOVA CRNJA,45.639712504219176,20.59306038050636,4.OKTOBRA,35
ALEKSANDROVO,NOVA CRNJA,45.639786651372496,20.595513098549656,ŽARKA ZRENJANINA,19
ALEKSANDROVO,NOVA CRNJA,45.62826159988612,20.598423613302213,VUKA KARADŽIĆA,91A
ALEKSANDROVO,NOVA CRNJA,45.63156268761785,20.598601463847253,BRANKA RADIČEVIĆA,61
ALEKSANDROVO,NOVA CRNJA,45.638627175787406,20.599941802398686,GAVRILA PRINCIPA,29
ALEKSANDROVO,NOVA CRNJA,45.636906044096705,20.60162308631314,VUKA KARADŽIĆA,49
ALEKSANDROVO,NOVA CRNJA,45.644162570656356,20.594228257682577,4.OKTOBRA,8
ALEKSANDROVO,NOVA CRNJA,45.64509249815841,20.596961199836564,SVETOZARA MARKOVIĆA,42
ALEKSANDROVO,NOVA CRNJA,45.645164512179775,20.598471223987655,SVETOZARA MARKOVIĆA,45
ALEKSANDROVO,NOVA CRNJA,45.63500729811846,20.584144584559006,KARAĐORĐEVA,61
ALEKSANDROVO,NOVA CRNJA,45.6398995099242,20.585267081611917,KARAĐORĐEVA,48
ALEKSANDROVO,NOVA CRNJA,45.633852418124555,20.585986426151567,BRANKA RADIČEVIĆA,17
ALEKSANDROVO,NOVA CRNJA,45.63735120885099,20.586768368694887,ĐURE JAKŠIĆA,52A
ALEKSANDROVO,NOVA CRNJA,45.63801790890128,20.588339511862486,NIKOLE TESLE,27A
ALEKSANDROVO,NOVA CRNJA,45.647104241462074,20.588014628057334,SVETOZARA MARKOVIĆA,7A
ALEKSANDROVO,NOVA CRNJA,45.631503146212275,20.58942012102226,4.OKTOBRA,70
ALEKSANDROVO,NOVA CRNJA,45.62973575278926,20.591235657539976,ŽARKA ZRENJANINA,84
ALEKSANDROVO,NOVA CRNJA,45.63086353912988,20.591654937173374,ŽARKA ZRENJANINA,74
ALEKSANDROVO,NOVA CRNJA,45.64028680467838,20.590879596014126,MIHAJLA PUPINA,37
ALEKSANDROVO,NOVA CRNJA,45.639966735304206,20.59264369630888,4.OKTOBRA,28
ALEKSANDROVO,NOVA CRNJA,45.634941199924,20.59786307608496,GAVRILA PRINCIPA,46A
ALEKSANDROVO,NOVA CRNJA,45.64354739206179,20.59449127092283,4.OKTOBRA,13A
ALEKSANDROVO,NOVA CRNJA,45.63826365433618,20.58468943024455,NIKOLE TESLE,8
ALEKSANDROVO,NOVA CRNJA,45.63479719855258,20.588089935574736,MIHAJLA PUPINA,68
ALEKSANDROVO,NOVA CRNJA,45.64128406822463,20.588088597529065,ĐURE JAKŠIĆA,30
ALEKSANDROVO,NOVA CRNJA,45.6325849913883,20.59090689989712,BRANKA RADIČEVIĆA,36
ALEKSANDROVO,NOVA CRNJA,45.63656511284927,20.591888746866726,4.OKTOBRA,47B
ALEKSANDROVO,NOVA CRNJA,45.643694972255474,20.58901577858281,ĐURE JAKŠIĆA,20
ALEKSANDROVO,NOVA CRNJA,45.64417758751294,20.603789134656605,SVETOZARA MARKOVIĆA,63
ALEKSANDROVO,NOVA CRNJA,45.63850169062348,20.58292479194095,ŽELEZNIČKA,41
ALEKSANDROVO,NOVA CRNJA,45.63709418467981,20.580997513349374,ŽELEZNIČKA,26
ALEKSANDROVO,NOVA CRNJA,45.636935115227885,20.584218472687972,KARAĐORĐEVA,58
ALEKSANDROVO,NOVA CRNJA,45.63957935972368,20.585220940695944,KARAĐORĐEVA,50
ALEKSANDROVO,NOVA CRNJA,45.6384304933661,20.587710585055117,ĐURE JAKŠIĆA,45
ALEKSANDROVO,NOVA CRNJA,45.634253226759775,20.58905195474078,MIHAJLA PUPINA,69
ALEKSANDROVO,NOVA CRNJA,45.64001968020389,20.590157712128477,MIHAJLA PUPINA,44
ALEKSANDROVO,NOVA CRNJA,45.63933796716839,20.590513749374335,MIHAJLA PUPINA,47
ALEKSANDROVO,NOVA CRNJA,45.63727024414348,20.592417907933736,NIKOLE TESLE,35A
ALEKSANDROVO,NOVA CRNJA,45.6384434111555,20.59507187528698,ŽARKA ZRENJANINA,31
ALEKSANDROVO,NOVA CRNJA,45.63639394531279,20.601457862669534,VUKA KARADŽIĆA,51A
ALEKSANDROVO,NOVA CRNJA,45.64603591837565,20.591900185487077,SVETOZARA MARKOVIĆA,22
ALEKSANDROVO,NOVA CRNJA,45.64527000338351,20.59801067277972,SVETOZARA MARKOVIĆA,43
ALEKSANDROVO,NOVA CRNJA,45.63956287450082,20.602690954005073,VUKA KARADŽIĆA,33A
ALEKSANDROVO,NOVA CRNJA,45.6396568065461,20.602602522849022,VUKA KARADŽIĆA,33
ALEKSANDROVO,NOVA CRNJA,45.63481010052373,20.58011243258944,ŽELEZNIČKA,56
ALEKSANDROVO,NOVA CRNJA,45.638029596219084,20.583049163384487,ŽELEZNIČKA,41A
ALEKSANDROVO,NOVA CRNJA,45.634215777756474,20.584224597646575,BRANKA RADIČEVIĆA,11
ALEKSANDROVO,NOVA CRNJA,45.639030234896616,20.585623661774168,KARAĐORĐEVA,43
ALEKSANDROVO,NOVA CRNJA,45.634777227785705,20.586374149733228,ĐURE JAKŠIĆA,63
ALEKSANDROVO,NOVA CRNJA,45.63650706049671,20.586508078663737,ĐURE JAKŠIĆA,58
ALEKSANDROVO,NOVA CRNJA,45.63353405958353,20.587704921159872,BRANKA RADIČEVIĆA,23
ALEKSANDROVO,NOVA CRNJA,45.63385968575923,20.590324374360407,4.OKTOBRA,64
ALEKSANDROVO,NOVA CRNJA,45.636084541200034,20.591734161672214,4.OKTOBRA,51
ALEKSANDROVO,NOVA CRNJA,45.638392895139546,20.592559765104305,4.OKTOBRA,45
ALEKSANDROVO,NOVA CRNJA,45.63451232469173,20.59349409128273,ŽARKA ZRENJANINA,49
ALEKSANDROVO,NOVA CRNJA,45.63559289986051,20.593422125699995,ŽARKA ZRENJANINA,48
ALEKSANDROVO,NOVA CRNJA,45.63781000266512,20.59481417098165,ŽARKA ZRENJANINA,35
ALEKSANDROVO,NOVA CRNJA,45.63156975765339,20.59664771788496,BRANKA RADIČEVIĆA,56
ALEKSANDROVO,NOVA CRNJA,45.63775321531576,20.598974530918163,GAVRILA PRINCIPA,38
ALEKSANDROVO,NOVA CRNJA,45.6425172358454,20.60131884896935,GAVRILA PRINCIPA,9
ALEKSANDROVO,NOVA CRNJA,45.637717704754294,20.581372921270837,ŽELEZNIČKA,18A
ALEKSANDROVO,NOVA CRNJA,45.63213434711442,20.5829499567818,KARAĐORĐEVA,73A
ALEKSANDROVO,NOVA CRNJA,45.63400995848316,20.582530354280298,BRANKA RADIČEVIĆA,6A
ALEKSANDROVO,NOVA CRNJA,45.63140994665831,20.58681267416125,MIHAJLA PUPINA,86
ALEKSANDROVO,NOVA CRNJA,45.63196490401401,20.589623307773515,4.OKTOBRA,66A
ALEKSANDROVO,NOVA CRNJA,45.631550767157464,20.591833153535703,ŽARKA ZRENJANINA,70A
ALEKSANDROVO,NOVA CRNJA,45.63567893363148,20.5910474642464,4.OKTOBRA,50
ALEKSANDROVO,NOVA CRNJA,45.63441805833763,20.591115782980104,4.OKTOBRA,67
ALEKSANDROVO,NOVA CRNJA,45.642820063552165,20.59187246283027,MIHAJLA PUPINA,27
ALEKSANDROVO,NOVA CRNJA,45.63855574224751,20.592641217897697,4.OKTOBRA,43
ALEKSANDROVO,NOVA CRNJA,45.6427715415829,20.594195055328434,4.OKTOBRA,19
ALEKSANDROVO,NOVA CRNJA,45.62674060257117,20.597880923215083,VUKA KARADŽIĆA,99
ALEKSANDROVO,NOVA CRNJA,45.63610252569738,20.598894694525654,NIKOLE TESLE,67
ALEKSANDROVO,NOVA CRNJA,45.63549473518692,20.59929138804428,NIKOLE TESLE,56
ALEKSANDROVO,NOVA CRNJA,45.63841947794051,20.599260789489758,GAVRILA PRINCIPA,34
ALEKSANDROVO,NOVA CRNJA,45.64501467631138,20.597405384171495,SVETOZARA MARKOVIĆA,44
ALEKSANDROVO,NOVA CRNJA,45.63303034645835,20.580872170541085,ŽELEZNIČKA,67
